3,72
6,54
3,74
5,27
7,17
4,66
4,93
4,81
7,68
5,76
5,69
7,84
7,81
9,89
9,52
6,92
8,94
8,91
3,84
8,86
8,51
5,1
9,2
8,31
6,33
10,01
7,06
7,25
9,52
11,6
5,14
12,15
5,17
4,15
11,7
9,12
5,75
6,94
10,05
11,75
5,36
6,1
5,65
7,61
9,5
6,23
6,41
7,9
9,08
8,62
6,06
9,04
10,79
7,88
3,84
4,69
8,1
2,36
6,23
5,66
11,81
7,86
4,69
2,84
13,42
10,9
6,51
4,09
4,03
7,51
9,93
5,56
6,96
25,03
15,64
8,87
28,46
13,58
7,15
4,6
2,47
6,1
10,71
28,1
3,11
5,76
10,23
17,33
4,51
12,9
6,45
5,03
4,35
6,76
28,74
8,08
8,49
24,86
2,4
3,62
