12,52
17,32
18,12
21,1
21,2
19,28
20,7
19,02
33
19
28,9
27,18
25,4
22,5
24,5
21,2
32,84
22,48
18,32
21,16
31,14
26,62
25,18
14,94
17,62
19,44
22,1
29,7
13,88
19,98
23,48
26
18,52
12,84
10,54
21,54
27,82
33,72
19,24
26,66
41,8
19,48
21,88
23,64
33,74
33,82
24,52
14,5
25,3
17,3
27,96
25,06
20,4
22,5
42,78
20,84
15,88
15,36
27,48
30,44
26,62
19,48
25,32
17,54
36,74
25,42
14,3
24,74
11,7
15,5
9,28
37,72
33,42
17,62
18,48
21,24
33,72
18,32
21,4
21,9
17,96
33,58
26,5
22,46
16,44
14,6
48,52
33,7
27,72
14,04
22,9
27,14
21,52
36,64
24,44
21,4
16,32
20,44
36,68
12,24
29,52
19,58
24,34
15,4
15,36
21,3
35,68
19,48
16,22
29,62
39,72
18,38
23,48
18,32
22,46
18,42
24,46
11,54
20,18
27,6
