1,33
3,41
5,61
9,82
6,05
5,14
7,79
6,01
10,61
7,9
8,15
8,84
11,49
8,56
8,11
5,91
12,55
9,01
6,3
5,12
13,96
9,16
11,82
6,31
8,54
10,22
4,27
12,13
8,51
12,12
11,55
14,65
11,14
5,42
7,28
11,3
13,14
11,04
12,77
10,64
21,51
12,38
12,61
11,38
7,15
23,75
11,42
6,48
9,52
7,16
11,5
11,45
13,31
13,87
23,41
11,96
11,37
8,7
16,96
18,74
10,89
10,67
15,2
13,05
20,81
15,23
8
20,39
6,17
6,69
6,32
28,57
21,38
10,63
16,34
14,51
27,05
10,36
11,01
12,85
14,15
23,09
16,64
15,1
12,51
13,22
39,38
27,69
20,28
12,48
16,93
19,71
16,15
25,7
18,85
14,02
10,68
15,4
32,33
8,93
20,77
12,62
17,48
13,35
12,24
19,24
27,31
11,43
12,29
17,74
30,7
13,14
17,78
15,07
15,67
14,56
16,59
8,81
15,54
20,86
